balancedRank,balancedScore,minimaxRegretRank,maxProfileRegret,uncertaintyLow,uncertaintyHigh,modelUncertaintyBand,resilienceFloor,publicAlignment,captureResistance,complexityScore,legislature,review,antiCapture,doNotRecommendYetReason
1,0.661,7041,0.107,0.569,0.753,0.092,0.551,0.537,0.657,0.551,Expanded portfolio hybrid legislature,No emergency relief without merits review,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
2,0.660,7578,0.111,0.568,0.753,0.092,0.544,0.537,0.657,0.544,Expanded portfolio hybrid legislature,Emergency integrity package,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
3,0.659,7278,0.109,0.567,0.752,0.092,0.548,0.537,0.657,0.548,Expanded portfolio hybrid legislature,Automatic merits follow-up for emergency relief,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
4,0.658,8163,0.116,0.565,0.750,0.093,0.536,0.538,0.657,0.536,Expanded portfolio hybrid legislature,Constitutional council with concrete-review backstop,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
5,0.658,7969,0.114,0.565,0.750,0.092,0.538,0.538,0.657,0.538,Expanded portfolio hybrid legislature,Pre-enactment constitutional council,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
6,0.657,8059,0.115,0.565,0.750,0.093,0.537,0.537,0.657,0.537,Expanded portfolio hybrid legislature,Constitutional remand before invalidation,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
7,0.657,8687,0.118,0.565,0.750,0.093,0.531,0.537,0.657,0.531,Expanded portfolio hybrid legislature,Constitutional remand with override window,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
8,0.657,7164,0.108,0.564,0.749,0.093,0.551,0.534,0.657,0.551,Expanded portfolio hybrid legislature,Three-judge panels with en banc correction,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
9,0.657,7249,0.108,0.564,0.749,0.093,0.550,0.534,0.657,0.550,Expanded portfolio hybrid legislature,Randomized merits panels with en banc correction,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
10,0.656,7586,0.111,0.564,0.749,0.093,0.545,0.534,0.657,0.545,Expanded portfolio hybrid legislature,Random panels with jurisdiction safeguards,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
