stressProfile,stressLabel,caseKey,period,delivery,usefulPolicy,badPolicyInflow,reviewDocketPressure,correctedPressure,uncorrectedPressure,policyQuality,publicAlignmentState,capturePressure,correctionBacklog,courtCurbingPressure,legitimacyState,compliance,netPolicyBenefit
baseline,Baseline,balanced-winner,1,0.585,0.333,0.219,0.265,0.235,0.031,0.569,0.516,0.295,0.134,0.000,0.623,0.669,0.226
baseline,Baseline,balanced-winner,2,0.588,0.335,0.217,0.246,0.235,0.010,0.514,0.502,0.249,0.098,0.000,0.629,0.671,0.235
baseline,Baseline,balanced-winner,3,0.592,0.340,0.214,0.224,0.224,0.000,0.471,0.494,0.203,0.069,0.000,0.634,0.674,0.243
baseline,Baseline,balanced-winner,4,0.596,0.345,0.209,0.203,0.203,0.000,0.437,0.489,0.158,0.051,0.000,0.640,0.676,0.251
baseline,Baseline,balanced-winner,5,0.599,0.352,0.203,0.186,0.186,0.000,0.412,0.487,0.113,0.040,0.000,0.646,0.679,0.260
baseline,Baseline,balanced-winner,6,0.603,0.359,0.197,0.171,0.171,0.000,0.394,0.489,0.070,0.034,0.000,0.652,0.681,0.270
baseline,Baseline,balanced-winner,7,0.607,0.367,0.190,0.157,0.157,0.000,0.381,0.492,0.026,0.031,0.000,0.658,0.684,0.282
baseline,Baseline,balanced-winner,8,0.610,0.376,0.182,0.144,0.144,0.000,0.374,0.497,0.000,0.030,0.000,0.665,0.687,0.294
baseline,Baseline,balanced-winner,9,0.613,0.383,0.177,0.136,0.136,0.000,0.369,0.501,0.000,0.030,0.000,0.670,0.690,0.303
baseline,Baseline,balanced-winner,10,0.615,0.385,0.177,0.136,0.136,0.000,0.365,0.504,0.000,0.030,0.000,0.675,0.693,0.306
baseline,Baseline,balanced-winner,11,0.616,0.387,0.176,0.135,0.135,0.000,0.362,0.507,0.000,0.029,0.000,0.679,0.695,0.308
baseline,Baseline,balanced-winner,12,0.617,0.389,0.176,0.135,0.135,0.000,0.360,0.509,0.000,0.029,0.000,0.683,0.697,0.310
baseline,Baseline,balanced-winner,13,0.618,0.390,0.175,0.135,0.135,0.000,0.359,0.511,0.000,0.029,0.000,0.686,0.698,0.311
baseline,Baseline,balanced-winner,14,0.618,0.391,0.175,0.135,0.135,0.000,0.358,0.513,0.000,0.029,0.000,0.688,0.699,0.313
baseline,Baseline,balanced-winner,15,0.619,0.392,0.175,0.134,0.134,0.000,0.357,0.514,0.000,0.029,0.000,0.691,0.701,0.314
