epsilonParetoRank,paretoCriterion,rank,overallScore,modelUncertaintyBand,policyDelivery,publicAlignment,rightsSafeguard,captureResistance,legitimacy,complexityScore,resilienceFloor,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture,tradeoffNote
1,epsilon,1,0.656,0.092,0.745,0.534,0.724,0.648,0.613,0.554,0.554,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
2,epsilon,2,0.655,0.092,0.745,0.534,0.722,0.648,0.614,0.546,0.546,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
3,epsilon,3,0.654,0.092,0.745,0.534,0.721,0.648,0.603,0.551,0.551,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,strong delivery
4,epsilon,4,0.653,0.092,0.745,0.535,0.715,0.648,0.610,0.538,0.538,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
5,epsilon,5,0.652,0.092,0.745,0.535,0.713,0.648,0.608,0.541,0.541,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
6,epsilon,6,0.652,0.092,0.745,0.534,0.720,0.648,0.598,0.539,0.539,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
7,epsilon,7,0.652,0.092,0.745,0.534,0.723,0.648,0.598,0.533,0.533,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,strong delivery; complexity risk; weak subsystem floor
8,epsilon,23,0.650,0.095,0.745,0.506,0.724,0.631,0.593,0.607,0.599,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
9,epsilon,26,0.649,0.094,0.745,0.506,0.722,0.631,0.594,0.600,0.599,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
10,epsilon,27,0.649,0.094,0.745,0.533,0.722,0.596,0.607,0.603,0.596,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-integrity-package,Emergency integrity package,democracy-vouchers,Democracy vouchers,strong delivery
11,epsilon,28,0.648,0.094,0.745,0.506,0.721,0.631,0.583,0.604,0.599,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
12,epsilon,30,0.648,0.094,0.745,0.533,0.721,0.596,0.596,0.607,0.596,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,democracy-vouchers,Democracy vouchers,strong delivery
13,epsilon,31,0.647,0.094,0.745,0.534,0.715,0.596,0.602,0.595,0.595,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,democracy-vouchers,Democracy vouchers,strong delivery
14,epsilon,32,0.647,0.094,0.745,0.507,0.715,0.631,0.589,0.592,0.592,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,council-concrete-hybrid,Constitutional council with concrete-review backstop,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
15,epsilon,33,0.647,0.094,0.745,0.534,0.720,0.596,0.590,0.596,0.596,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,democracy-vouchers,Democracy vouchers,strong delivery
16,epsilon,34,0.647,0.094,0.745,0.533,0.723,0.596,0.591,0.590,0.590,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,remand-override-window-package,Constitutional remand with override window,democracy-vouchers,Democracy vouchers,strong delivery
17,epsilon,35,0.647,0.094,0.745,0.535,0.713,0.596,0.600,0.598,0.596,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,democracy-vouchers,Democracy vouchers,strong delivery
18,epsilon,36,0.647,0.094,0.745,0.508,0.713,0.631,0.587,0.594,0.594,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-council,Pre-enactment constitutional council,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
19,epsilon,37,0.647,0.094,0.745,0.507,0.720,0.631,0.578,0.593,0.593,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,constitutional-remand,Constitutional remand before invalidation,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
20,epsilon,39,0.647,0.094,0.745,0.506,0.723,0.631,0.578,0.587,0.587,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,remand-override-window-package,Constitutional remand with override window,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
21,epsilon,41,0.646,0.095,0.745,0.504,0.713,0.631,0.577,0.606,0.599,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,randomized-merits-panels,Randomized merits panels with en banc correction,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
22,epsilon,42,0.646,0.095,0.745,0.504,0.713,0.631,0.577,0.607,0.599,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,panel-en-banc,Three-judge panels with en banc correction,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,strong delivery
